"Protein.name","Genes","UniProtKB.AC","Search","Path"
"Transmembrane protein 183A","TMEM183A C1orf37","Q8IXX5","transmembrane protein 183a tmem183a c1orf37 q8ixx5","data/Array_objects_single_proteins/Array_object_Q8IXX5.rds"
"Patatin-like phospholipase domain-containing protein 6 (EC 3.1.1.5) (Neuropathy target esterase)","PNPLA6 NTE","Q8IY17","patatin-like phospholipase domain-containing protein 6 (ec 3.1.1.5) (neuropathy target esterase) pnpla6 nte q8iy17","data/Array_objects_single_proteins/Array_object_Q8IY17.rds"
"Phospholipid phosphatase 6 (EC 3.1.3.-) (Phosphatidic acid phosphatase type 2 domain-containing protein 2) (PPAP2 domain-containing protein 2) (Presqualene diphosphate phosphatase)","PLPP6 PPAPDC2","Q8IY26","phospholipid phosphatase 6 (ec 3.1.3.-) (phosphatidic acid phosphatase type 2 domain-containing protein 2) (ppap2 domain-containing protein 2) (presqualene diphosphate phosphatase) plpp6 ppapdc2 q8iy26","data/Array_objects_single_proteins/Array_object_Q8IY26.rds"
"Solute carrier family 15 member 3 (Osteoclast transporter) (Peptide transporter 3) (Peptide/histidine transporter 2)","SLC15A3 OCTP PHT2 PTR3","Q8IY34","solute carrier family 15 member 3 (osteoclast transporter) (peptide transporter 3) (peptide/histidine transporter 2) slc15a3 octp pht2 ptr3 q8iy34","data/Array_objects_single_proteins/Array_object_Q8IY34.rds"
"Monocyte to macrophage differentiation factor 2 (Progestin and adipoQ receptor family member 10) (Progestin and adipoQ receptor family member X)","MMD2 PAQR10","Q8IY49","monocyte to macrophage differentiation factor 2 (progestin and adipoq receptor family member 10) (progestin and adipoq receptor family member x) mmd2 paqr10 q8iy49","data/Array_objects_single_proteins/Array_object_Q8IY49.rds"
"Putative thiamine transporter SLC35F3 (Solute carrier family 35 member F3)","SLC35F3","Q8IY50","putative thiamine transporter slc35f3 (solute carrier family 35 member f3) slc35f3 q8iy50","data/Array_objects_single_proteins/Array_object_Q8IY50.rds"
"Transmembrane protein 192","TMEM192","Q8IY95","transmembrane protein 192 tmem192 q8iy95","data/Array_objects_single_proteins/Array_object_Q8IY95.rds"
"PILR alpha-associated neural protein (PILR-associating neural protein) (Paired immunoglobin-like type 2 receptor-associating neural protein)","PIANP C12orf53 PANP UNQ828/PRO1755","Q8IYJ0","pilr alpha-associated neural protein (pilr-associating neural protein) (paired immunoglobin-like type 2 receptor-associating neural protein) pianp c12orf53 panp unq828/pro1755 q8iyj0","data/Array_objects_single_proteins/Array_object_Q8IYJ0.rds"
"Psychosine receptor (G-protein coupled receptor 65) (T-cell death-associated gene 8 protein)","GPR65 TDAG8","Q8IYL9","psychosine receptor (g-protein coupled receptor 65) (t-cell death-associated gene 8 protein) gpr65 tdag8 q8iyl9","data/Array_objects_single_proteins/Array_object_Q8IYL9.rds"
"Palmitoyltransferase ZDHHC23 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 23) (DHHC-23) (zDHHC23)","ZDHHC23","Q8IYP9","palmitoyltransferase zdhhc23 (ec 2.3.1.225) (zinc finger dhhc domain-containing protein 23) (dhhc-23) (zdhhc23) zdhhc23 q8iyp9","data/Array_objects_single_proteins/Array_object_Q8IYP9.rds"
"Tomoregulin-1 (TR-1) (H7365) (Transmembrane protein with EGF-like and one follistatin-like domain)","TMEFF1 C9orf2","Q8IYR6","tomoregulin-1 (tr-1) (h7365) (transmembrane protein with egf-like and one follistatin-like domain) tmeff1 c9orf2 q8iyr6","data/Array_objects_single_proteins/Array_object_Q8IYR6.rds"
"Protein Aster-C (GRAM domain-containing protein 1C)","GRAMD1C UNQ2543/PRO6095","Q8IYS0","protein aster-c (gram domain-containing protein 1c) gramd1c unq2543/pro6095 q8iys0","data/Array_objects_single_proteins/Array_object_Q8IYS0.rds"
"Uncharacterized protein KIAA2013","KIAA2013","Q8IYS2","uncharacterized protein kiaa2013 kiaa2013 q8iys2","data/Array_objects_single_proteins/Array_object_Q8IYS2.rds"
"Izumo sperm-egg fusion protein 1 (Oocyte binding/fusion factor) (OBF) (Sperm-specific protein izumo)","IZUMO1","Q8IYV9","izumo sperm-egg fusion protein 1 (oocyte binding/fusion factor) (obf) (sperm-specific protein izumo) izumo1 q8iyv9","data/Array_objects_single_proteins/Array_object_Q8IYV9.rds"
"G-protein coupled receptor 135","GPR135","Q8IZ08","g-protein coupled receptor 135 gpr135 q8iz08","data/Array_objects_single_proteins/Array_object_Q8IZ08.rds"
"Neurensin-1 (Neuro-p24) (Vesicular membrane protein of 24 kDa) (Vesicular membrane protein p24)","NRSN1 VMP","Q8IZ57","neurensin-1 (neuro-p24) (vesicular membrane protein of 24 kda) (vesicular membrane protein p24) nrsn1 vmp q8iz57","data/Array_objects_single_proteins/Array_object_Q8IZ57.rds"
"Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR)","KIAA0319L AAVR KIAA1837 PP791","Q8IZA0","dyslexia-associated protein kiaa0319-like protein (adeno-associated virus receptor) (aavr) kiaa0319l aavr kiaa1837 pp791 q8iza0","data/Array_objects_single_proteins/Array_object_Q8IZA0.rds"
"Solute carrier family 22 member 15 (Fly-like putative transporter 1) (Flipt 1)","SLC22A15 FLIPT1 UNQ9429/PRO34686","Q8IZD6","solute carrier family 22 member 15 (fly-like putative transporter 1) (flipt 1) slc22a15 flipt1 unq9429/pro34686 q8izd6","data/Array_objects_single_proteins/Array_object_Q8IZD6.rds"
"Sodium leak channel non-selective protein (CanIon) (Voltage gated channel-like protein 1)","NALCN VGCNL1","Q8IZF0","sodium leak channel non-selective protein (canion) (voltage gated channel-like protein 1) nalcn vgcnl1 q8izf0","data/Array_objects_single_proteins/Array_object_Q8IZF0.rds"
"Adhesion G protein-coupled receptor F5 (G-protein coupled receptor 116)","ADGRF5 GPR116 KIAA0758","Q8IZF2","adhesion g protein-coupled receptor f5 (g-protein coupled receptor 116) adgrf5 gpr116 kiaa0758 q8izf2","data/Array_objects_single_proteins/Array_object_Q8IZF2.rds"
"Adhesion G protein-coupled receptor F4 (G-protein coupled receptor 115) (G-protein coupled receptor PGR18)","ADGRF4 GPR115 PGR18","Q8IZF3","adhesion g protein-coupled receptor f4 (g-protein coupled receptor 115) (g-protein coupled receptor pgr18) adgrf4 gpr115 pgr18 q8izf3","data/Array_objects_single_proteins/Array_object_Q8IZF3.rds"
"Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27)","ADGRG5 GPR114 PGR27 UNQ2524/PRO6017","Q8IZF4","adhesion g-protein coupled receptor g5 (g-protein coupled receptor 114) (g-protein coupled receptor pgr27) adgrg5 gpr114 pgr27 unq2524/pro6017 q8izf4","data/Array_objects_single_proteins/Array_object_Q8IZF4.rds"
"Adhesion G-protein coupled receptor F3 (G-protein coupled receptor 113) (G-protein coupled receptor PGR23)","ADGRF3 GPR113 PGR23 UNQ9196/PRO34000","Q8IZF5","adhesion g-protein coupled receptor f3 (g-protein coupled receptor 113) (g-protein coupled receptor pgr23) adgrf3 gpr113 pgr23 unq9196/pro34000 q8izf5","data/Array_objects_single_proteins/Array_object_Q8IZF5.rds"
"Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112)","ADGRG4 GPR112","Q8IZF6","adhesion g-protein coupled receptor g4 (g-protein coupled receptor 112) adgrg4 gpr112 q8izf6","data/Array_objects_single_proteins/Array_object_Q8IZF6.rds"
"Netrin receptor UNC5B (Protein unc-5 homolog 2) (Protein unc-5 homolog B) (p53-regulated receptor for death and life protein 1) (p53RDL1)","UNC5B P53RDL1 UNC5H2 UNQ1883/PRO4326","Q8IZJ1","netrin receptor unc5b (protein unc-5 homolog 2) (protein unc-5 homolog b) (p53-regulated receptor for death and life protein 1) (p53rdl1) unc5b p53rdl1 unc5h2 unq1883/pro4326 q8izj1","data/Array_objects_single_proteins/Array_object_Q8IZJ1.rds"
"Mucolipin-2 (Transient receptor potential channel mucolipin 2) (TRPML2)","MCOLN2","Q8IZK6","mucolipin-2 (transient receptor potential channel mucolipin 2) (trpml2) mcoln2 q8izk6","data/Array_objects_single_proteins/Array_object_Q8IZK6.rds"
"Probable sodium-coupled neutral amino acid transporter 6 (N-system amino acid transporter 1) (NAT-1) (Na(+)-coupled neutral amino acid transporter 6) (Solute carrier family 38 member 6)","SLC38A6 NAT1 SNAT6","Q8IZM9","probable sodium-coupled neutral amino acid transporter 6 (n-system amino acid transporter 1) (nat-1) (na(+)-coupled neutral amino acid transporter 6) (solute carrier family 38 member 6) slc38a6 nat1 snat6 q8izm9","data/Array_objects_single_proteins/Array_object_Q8IZM9.rds"
"Palmitoyltransferase ZDHHC14 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 14) (DHHC-14) (NEW1 domain-containing protein) (NEW1CP) (Zinc finger DHHC domain-containing protein 14)","ZDHHC14","Q8IZN3","palmitoyltransferase zdhhc14 (ec 2.3.1.225) (dhhc domain-containing cysteine-rich protein 14) (dhhc-14) (new1 domain-containing protein) (new1cp) (zinc finger dhhc domain-containing protein 14) zdhhc14 q8izn3","data/Array_objects_single_proteins/Array_object_Q8IZN3.rds"
"Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6)","ADGRG2 GPR64 HE6 TM7LN2","Q8IZP9","adhesion g-protein coupled receptor g2 (g-protein coupled receptor 64) (human epididymis-specific protein 6) (he6) adgrg2 gpr64 he6 tm7ln2 q8izp9","data/Array_objects_single_proteins/Array_object_Q8IZP9.rds"
"CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)","CMTM4 CKLFSF4","Q8IZR5","cklf-like marvel transmembrane domain-containing protein 4 (chemokine-like factor superfamily member 4) cmtm4 cklfsf4 q8izr5","data/Array_objects_single_proteins/Array_object_Q8IZR5.rds"
"C-type lectin-like domain family 1 (Dendritic cell-associated lectin 1) (DC-associated lectin-1) (DCAL-1)","CLECL1 DCAL1","Q8IZS7","c-type lectin-like domain family 1 (dendritic cell-associated lectin 1) (dc-associated lectin-1) (dcal-1) clecl1 dcal1 q8izs7","data/Array_objects_single_proteins/Array_object_Q8IZS7.rds"
"Kin of IRRE-like protein 3 (Kin of irregular chiasm-like protein 3) (Nephrin-like protein 2) [Cleaved into: Processed kin of IRRE-like protein 3]","KIRREL3 KIAA1867 NEPH2 UNQ5923/PRO4502/PRO19814","Q8IZU9","kin of irre-like protein 3 (kin of irregular chiasm-like protein 3) (nephrin-like protein 2) [cleaved into: processed kin of irre-like protein 3] kirrel3 kiaa1867 neph2 unq5923/pro4502/pro19814 q8izu9","data/Array_objects_single_proteins/Array_object_Q8IZU9.rds"
"CKLF-like MARVEL transmembrane domain-containing protein 8 (Chemokine-like factor superfamily member 8)","CMTM8 CKLFSF8","Q8IZV2","cklf-like marvel transmembrane domain-containing protein 8 (chemokine-like factor superfamily member 8) cmtm8 cklfsf8 q8izv2","data/Array_objects_single_proteins/Array_object_Q8IZV2.rds"
"Phospholipid-transporting ATPase ABCA7 (EC 7.6.2.1) (ABCA-SSN) (ATP-binding cassette sub-family A member 7) (Autoantigen SS-N) (Macrophage ABC transporter)","ABCA7","Q8IZY2","phospholipid-transporting atpase abca7 (ec 7.6.2.1) (abca-ssn) (atp-binding cassette sub-family a member 7) (autoantigen ss-n) (macrophage abc transporter) abca7 q8izy2","data/Array_objects_single_proteins/Array_object_Q8IZY2.rds"
"Putative L-type amino acid transporter 1-like protein MLAS (hLAT1 3-transmembrane protein MLAS) (hLAT1 3TM MLAS)","SLC7A5P1 MLAS","Q8MH63","putative l-type amino acid transporter 1-like protein mlas (hlat1 3-transmembrane protein mlas) (hlat1 3tm mlas) slc7a5p1 mlas q8mh63","data/Array_objects_single_proteins/Array_object_Q8MH63.rds"
"Transmembrane protein 61","TMEM61","Q8N0U2","transmembrane protein 61 tmem61 q8n0u2","data/Array_objects_single_proteins/Array_object_Q8N0U2.rds"
"Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4)","VKORC1L1","Q8N0U8","vitamin k epoxide reductase complex subunit 1-like protein 1 (vkorc1-like protein 1) (ec 1.17.4.4) vkorc1l1 q8n0u8","data/Array_objects_single_proteins/Array_object_Q8N0U8.rds"
"Neuroligin-4, X-linked (Neuroligin X) (HNLX)","NLGN4X KIAA1260 NLGN4 UNQ365/PRO701","Q8N0W4","neuroligin-4, x-linked (neuroligin x) (hnlx) nlgn4x kiaa1260 nlgn4 unq365/pro701 q8n0w4","data/Array_objects_single_proteins/Array_object_Q8N0W4.rds"
"Fragile X mental retardation 1 neighbor protein (Cancer/testis antigen 37) (CT37) (Sarcoma antigen NY-SAR-35)","FMR1NB","Q8N0W7","fragile x mental retardation 1 neighbor protein (cancer/testis antigen 37) (ct37) (sarcoma antigen ny-sar-35) fmr1nb q8n0w7","data/Array_objects_single_proteins/Array_object_Q8N0W7.rds"
"Olfactory receptor 4N4 (Olfactory receptor OR15-1) (Olfactory receptor OR15-5)","OR4N4","Q8N0Y3","olfactory receptor 4n4 (olfactory receptor or15-1) (olfactory receptor or15-5) or4n4 q8n0y3","data/Array_objects_single_proteins/Array_object_Q8N0Y3.rds"
"Olfactory receptor 8I2 (Olfactory receptor OR11-170)","OR8I2","Q8N0Y5","olfactory receptor 8i2 (olfactory receptor or11-170) or8i2 q8n0y5","data/Array_objects_single_proteins/Array_object_Q8N0Y5.rds"
"V-set and immunoglobulin domain-containing protein 10","VSIG10","Q8N0Z9","v-set and immunoglobulin domain-containing protein 10 vsig10 q8n0z9","data/Array_objects_single_proteins/Array_object_Q8N0Z9.rds"
"Killer cell immunoglobulin-like receptor 2DL5A (CD antigen CD158f1)","KIR2DL5A CD158F CD158F1 KIR2DL5","Q8N109","killer cell immunoglobulin-like receptor 2dl5a (cd antigen cd158f1) kir2dl5a cd158f cd158f1 kir2dl5 q8n109","data/Array_objects_single_proteins/Array_object_Q8N109.rds"
"Cell cycle exit and neuronal differentiation protein 1 (BM88 antigen)","CEND1 BM88","Q8N111","cell cycle exit and neuronal differentiation protein 1 (bm88 antigen) cend1 bm88 q8n111","data/Array_objects_single_proteins/Array_object_Q8N111.rds"
"Leucine-rich single-pass membrane protein 2","LSMEM2 C3orf45","Q8N112","leucine-rich single-pass membrane protein 2 lsmem2 c3orf45 q8n112","data/Array_objects_single_proteins/Array_object_Q8N112.rds"
"Protein shisa-5 (Putative NF-kappa-B-activating protein 120) (Scotin)","SHISA5 SCOTIN PSEC0133","Q8N114","protein shisa-5 (putative nf-kappa-b-activating protein 120) (scotin) shisa5 scotin psec0133 q8n114","data/Array_objects_single_proteins/Array_object_Q8N114.rds"
"Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1)","CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258","Q8N126","cell adhesion molecule 3 (brain immunoglobulin receptor) (immunoglobulin superfamily member 4b) (igsf4b) (nectin-like protein 1) (necl-1) (synaptic cell adhesion molecule 3) (syncam3) (tslc1-like protein 1) (tsll1) cadm3 igsf4b necl1 syncam3 tsll1 unq225/pro258 q8n126","data/Array_objects_single_proteins/Array_object_Q8N126.rds"
"Olfactory receptor 5AS1 (Olfactory receptor OR11-168)","OR5AS1","Q8N127","olfactory receptor 5as1 (olfactory receptor or11-168) or5as1 q8n127","data/Array_objects_single_proteins/Array_object_Q8N127.rds"
"Sodium-dependent phosphate transport protein 2C (Sodium-phosphate transport protein 2C) (Na(+)-dependent phosphate cotransporter 2C) (Sodium/inorganic phosphate cotransporter IIC) (Sodium/phosphate cotransporter 2C) (Na(+)/Pi cotransporter 2C) (NaPi-2c) (Solute carrier family 34 member 3)","SLC34A3 NPT2C NPTIIC","Q8N130","sodium-dependent phosphate transport protein 2c (sodium-phosphate transport protein 2c) (na(+)-dependent phosphate cotransporter 2c) (sodium/inorganic phosphate cotransporter iic) (sodium/phosphate cotransporter 2c) (na(+)/pi cotransporter 2c) (napi-2c) (solute carrier family 34 member 3) slc34a3 npt2c nptiic q8n130","data/Array_objects_single_proteins/Array_object_Q8N130.rds"
"Porimin (Keratinocytes-associated transmembrane protein 3) (KCT-3) (Pro-oncosis receptor inducing membrane injury) (Transmembrane protein 123)","TMEM123 KCT3 PSEC0111 UNQ641/PRO1271","Q8N131","porimin (keratinocytes-associated transmembrane protein 3) (kct-3) (pro-oncosis receptor inducing membrane injury) (transmembrane protein 123) tmem123 kct3 psec0111 unq641/pro1271 q8n131","data/Array_objects_single_proteins/Array_object_Q8N131.rds"
"ORM1-like protein 3","ORMDL3","Q8N138","orm1-like protein 3 ormdl3 q8n138","data/Array_objects_single_proteins/Array_object_Q8N138.rds"
"ATP-binding cassette sub-family A member 6","ABCA6","Q8N139","atp-binding cassette sub-family a member 6 abca6 q8n139","data/Array_objects_single_proteins/Array_object_Q8N139.rds"
"Gap junction delta-3 protein (Connexin-31.9) (Cx31.9) (Gap junction alpha-11 protein) (Gap junction chi-1 protein)","GJD3 GJA11 GJC1","Q8N144","gap junction delta-3 protein (connexin-31.9) (cx31.9) (gap junction alpha-11 protein) (gap junction chi-1 protein) gjd3 gja11 gjc1 q8n144","data/Array_objects_single_proteins/Array_object_Q8N144.rds"
"Olfactory receptor 8H3 (Olfactory receptor OR11-172)","OR8H3","Q8N146","olfactory receptor 8h3 (olfactory receptor or11-172) or8h3 q8n146","data/Array_objects_single_proteins/Array_object_Q8N146.rds"
"Olfactory receptor 6V1 (Olfactory receptor OR7-3)","OR6V1","Q8N148","olfactory receptor 6v1 (olfactory receptor or7-3) or6v1 q8n148","data/Array_objects_single_proteins/Array_object_Q8N148.rds"
"Olfactory receptor 8H2 (Olfactory receptor OR11-171)","OR8H2","Q8N162","olfactory receptor 8h2 (olfactory receptor or11-171) or8h2 q8n162","data/Array_objects_single_proteins/Array_object_Q8N162.rds"
"Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3)","BEST3 VMD2L3","Q8N1M1","bestrophin-3 (vitelliform macular dystrophy 2-like protein 3) best3 vmd2l3 q8n1m1","data/Array_objects_single_proteins/Array_object_Q8N1M1.rds"
"C-type lectin domain family 4 member F (C-type lectin superfamily member 13) (C-type lectin 13)","CLEC4F CLECSF13","Q8N1N0","c-type lectin domain family 4 member f (c-type lectin superfamily member 13) (c-type lectin 13) clec4f clecsf13 q8n1n0","data/Array_objects_single_proteins/Array_object_Q8N1N0.rds"
"Dynactin-associated protein (Full)","DYNAP C18orf26","Q8N1N2","dynactin-associated protein (full) dynap c18orf26 q8n1n2","data/Array_objects_single_proteins/Array_object_Q8N1N2.rds"
"Nesprin-4 (KASH domain-containing protein 4) (KASH4) (Nuclear envelope spectrin repeat protein 4)","SYNE4 C19orf46","Q8N205","nesprin-4 (kash domain-containing protein 4) (kash4) (nuclear envelope spectrin repeat protein 4) syne4 c19orf46 q8n205","data/Array_objects_single_proteins/Array_object_Q8N205.rds"
"Prominin-2 (PROM-2) (Prominin-like protein 2) (hPROML2)","PROM2 PROML2 UNQ2521/PRO6014","Q8N271","prominin-2 (prom-2) (prominin-like protein 2) (hproml2) prom2 proml2 unq2521/pro6014 q8n271","data/Array_objects_single_proteins/Array_object_Q8N271.rds"
"Protein GAPT (Growth factor receptor-bound protein 2-binding adapter protein, transmembrane)","GAPT C5orf29","Q8N292","protein gapt (growth factor receptor-bound protein 2-binding adapter protein, transmembrane) gapt c5orf29 q8n292","data/Array_objects_single_proteins/Array_object_Q8N292.rds"
"Mitochondrial cardiolipin hydrolase (EC 3.1.-.-) (Choline phosphatase 6) (Mitochondrial phospholipase) (MitoPLD) (Phosphatidylcholine-hydrolyzing phospholipase D6) (Phospholipase D6) (PLD 6) (Protein zucchini homolog)","PLD6","Q8N2A8","mitochondrial cardiolipin hydrolase (ec 3.1.-.-) (choline phosphatase 6) (mitochondrial phospholipase) (mitopld) (phosphatidylcholine-hydrolyzing phospholipase d6) (phospholipase d6) (pld 6) (protein zucchini homolog) pld6 q8n2a8","data/Array_objects_single_proteins/Array_object_Q8N2A8.rds"
"Armadillo repeat-containing protein 10 (Splicing variant involved in hepatocarcinogenesis protein)","ARMC10 SVH PSEC0198","Q8N2F6","armadillo repeat-containing protein 10 (splicing variant involved in hepatocarcinogenesis protein) armc10 svh psec0198 q8n2f6","data/Array_objects_single_proteins/Array_object_Q8N2F6.rds"
"Protein SYS1 homolog","SYS1 C20orf169","Q8N2H4","protein sys1 homolog sys1 c20orf169 q8n2h4","data/Array_objects_single_proteins/Array_object_Q8N2H4.rds"
"Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (hABHD12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)","ABHD12 C20orf22","Q8N2K0","lysophosphatidylserine lipase abhd12 (ec 3.1.-.-) (2-arachidonoylglycerol hydrolase abhd12) (abhydrolase domain-containing protein 12) (habhd12) (monoacylglycerol lipase abhd12) (ec 3.1.1.23) (oxidized phosphatidylserine lipase abhd12) (ec 3.1.-.-) abhd12 c20orf22 q8n2k0","data/Array_objects_single_proteins/Array_object_Q8N2K0.rds"
"Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2)","UBE2J2 NCUBE2","Q8N2K1","ubiquitin-conjugating enzyme e2 j2 (ec 2.3.2.23) (e2 ubiquitin-conjugating enzyme j2) (non-canonical ubiquitin-conjugating enzyme 2) (ncube-2) ube2j2 ncube2 q8n2k1","data/Array_objects_single_proteins/Array_object_Q8N2K1.rds"
"Lysoplasmalogenase-like protein TMEM86A (Transmembrane protein 86A)","TMEM86A","Q8N2M4","lysoplasmalogenase-like protein tmem86a (transmembrane protein 86a) tmem86a q8n2m4","data/Array_objects_single_proteins/Array_object_Q8N2M4.rds"
"Neuroligin-1","NLGN1 KIAA1070","Q8N2Q7","neuroligin-1 nlgn1 kiaa1070 q8n2q7","data/Array_objects_single_proteins/Array_object_Q8N2Q7.rds"
"Putative uncharacterized protein RPP38-DT (RPP38 divergent transcript protein)","RPP38-DT C10orf111","Q8N326","putative uncharacterized protein rpp38-dt (rpp38 divergent transcript protein) rpp38-dt c10orf111 q8n326","data/Array_objects_single_proteins/Array_object_Q8N326.rds"
"Olfactory receptor 2L13 (Olfactory receptor 2L14)","OR2L13 OR2L14","Q8N349","olfactory receptor 2l13 (olfactory receptor 2l14) or2l13 or2l14 q8n349","data/Array_objects_single_proteins/Array_object_Q8N349.rds"
"Voltage-dependent calcium channel beta subunit-associated regulatory protein","CBARP C19orf26","Q8N350","voltage-dependent calcium channel beta subunit-associated regulatory protein cbarp c19orf26 q8n350","data/Array_objects_single_proteins/Array_object_Q8N350.rds"
"Solute carrier family 35 member F6 (ANT2-binding protein) (ANT2BP) (Transport and Golgi organization 9 homolog)","SLC35F6 C2orf18 UNQ3047/PRO9863","Q8N357","solute carrier family 35 member f6 (ant2-binding protein) (ant2bp) (transport and golgi organization 9 homolog) slc35f6 c2orf18 unq3047/pro9863 q8n357","data/Array_objects_single_proteins/Array_object_Q8N357.rds"
"Large neutral amino acids transporter small subunit 4 (L-type amino acid transporter 4) (Solute carrier family 43 member 2)","SLC43A2 LAT4 PP7664","Q8N370","large neutral amino acids transporter small subunit 4 (l-type amino acid transporter 4) (solute carrier family 43 member 2) slc43a2 lat4 pp7664 q8n370","data/Array_objects_single_proteins/Array_object_Q8N370.rds"
"Leucine-rich repeat-containing protein 25 (Monocyte and plasmacytoid-activated protein)","LRRC25 MAPA UNQ6169/PRO20174","Q8N386","leucine-rich repeat-containing protein 25 (monocyte and plasmacytoid-activated protein) lrrc25 mapa unq6169/pro20174 q8n386","data/Array_objects_single_proteins/Array_object_Q8N386.rds"
"Mucin-15 (MUC-15)","MUC15 UNQ750/PRO1481","Q8N387","mucin-15 (muc-15) muc15 unq750/pro1481 q8n387","data/Array_objects_single_proteins/Array_object_Q8N387.rds"
"Protein O-mannosyl-transferase TMTC2 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 2)","TMTC2","Q8N394","protein o-mannosyl-transferase tmtc2 (ec 2.4.1.109) (transmembrane and tpr repeat-containing protein 2) tmtc2 q8n394","data/Array_objects_single_proteins/Array_object_Q8N394.rds"
"Integral membrane protein GPR137C (Transmembrane 7 superfamily member 1-like 2 protein)","GPR137C TM7SF1L2","Q8N3F9","integral membrane protein gpr137c (transmembrane 7 superfamily member 1-like 2 protein) gpr137c tm7sf1l2 q8n3f9","data/Array_objects_single_proteins/Array_object_Q8N3F9.rds"
"Transmembrane protein 130","TMEM130 UNQ719/PRO1383","Q8N3G9","transmembrane protein 130 tmem130 unq719/pro1383 q8n3g9","data/Array_objects_single_proteins/Array_object_Q8N3G9.rds"
"Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D) (Nectin-like protein 3) (NECL-3) (Synaptic cell adhesion molecule 2) (SynCAM 2)","CADM2 IGSF4D NECL3","Q8N3J6","cell adhesion molecule 2 (immunoglobulin superfamily member 4d) (igsf4d) (nectin-like protein 3) (necl-3) (synaptic cell adhesion molecule 2) (syncam 2) cadm2 igsf4d necl3 q8n3j6","data/Array_objects_single_proteins/Array_object_Q8N3J6.rds"
"Protein PHTF2","PHTF2","Q8N3S3","protein phtf2 phtf2 q8n3s3","data/Array_objects_single_proteins/Array_object_Q8N3S3.rds"
"Transmembrane protein 132C","TMEM132C","Q8N3T6","transmembrane protein 132c tmem132c q8n3t6","data/Array_objects_single_proteins/Array_object_Q8N3T6.rds"
"Solute carrier family 25 member 45","SLC25A45","Q8N413","solute carrier family 25 member 45 slc25a45 q8n413","data/Array_objects_single_proteins/Array_object_Q8N413.rds"
"Leukocyte immunoglobulin-like receptor subfamily B member 2 (LIR-2) (Leukocyte immunoglobulin-like receptor 2) (CD85 antigen-like family member D) (Immunoglobulin-like transcript 4) (ILT-4) (Monocyte/macrophage immunoglobulin-like receptor 10) (MIR-10) (CD antigen CD85d)","LILRB2 ILT4 LIR2 MIR10","Q8N423","leukocyte immunoglobulin-like receptor subfamily b member 2 (lir-2) (leukocyte immunoglobulin-like receptor 2) (cd85 antigen-like family member d) (immunoglobulin-like transcript 4) (ilt-4) (monocyte/macrophage immunoglobulin-like receptor 10) (mir-10) (cd antigen cd85d) lilrb2 ilt4 lir2 mir10 q8n423","data/Array_objects_single_proteins/Array_object_Q8N423.rds"
"Putative transporter SVOPL (SV2-related protein-like) (SVOP-like protein)","SVOPL","Q8N434","putative transporter svopl (sv2-related protein-like) (svop-like protein) svopl q8n434","data/Array_objects_single_proteins/Array_object_Q8N434.rds"
"Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1) (FGF homologous factor receptor) (FGFR-like protein) (Fibroblast growth factor receptor 5) (FGFR-5)","FGFRL1 FGFR5 FHFR UNQ480/PRO943","Q8N441","fibroblast growth factor receptor-like 1 (fgf receptor-like protein 1) (fgf homologous factor receptor) (fgfr-like protein) (fibroblast growth factor receptor 5) (fgfr-5) fgfrl1 fgfr5 fhfr unq480/pro943 q8n441","data/Array_objects_single_proteins/Array_object_Q8N441.rds"
"Major facilitator superfamily domain-containing protein 4A (Major facilitator superfamily domain-containing protein 4)","MFSD4A MFSD4 UNQ3064/PRO9894","Q8N468","major facilitator superfamily domain-containing protein 4a (major facilitator superfamily domain-containing protein 4) mfsd4a mfsd4 unq3064/pro9894 q8n468","data/Array_objects_single_proteins/Array_object_Q8N468.rds"
